symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,entry_signal,confirmations
AEFES,2023-11-02 06:30:00+00:00,2025-03-11 12:30:00+00:00,10.720000267028809,17.549999237060547,932,6365.55904006958,0.6371267537220653,SIGNAL,STRONG_BUY,macd
AEFES,2025-06-04 07:30:00+00:00,2025-06-27 14:30:00+00:00,14.149999618530272,14.149999618530272,796,0.0,0.0,END_TEST,STRONG_BUY,adx_di
AGESA,2022-09-20 09:30:00+00:00,2022-12-08 06:30:00+00:00,27.100000381469727,41.77999877929688,415,6092.19933509827,0.5416973502282663,SIGNAL,STRONG_BUY,macd
AKBNK,2023-06-02 06:30:00+00:00,2024-08-23 07:30:00+00:00,17.299999237060547,58.45000076293945,722,29710.30110168457,2.3786129098622277,SIGNAL,STRONG_BUY,macd
AKSEN,2022-09-22 06:30:00+00:00,2022-11-17 06:30:00+00:00,31.84000015258789,45.63999938964844,578,7976.399559020996,0.4334170593883905,SIGNAL,STRONG_BUY,macd
AKSEN,2023-07-31 06:30:00+00:00,2023-08-24 14:30:00+00:00,39.97999954223633,36.540000915527344,500,-1719.9993133544922,-0.0860429881464817,STOP_LOSS,STRONG_BUY,
AKSEN,2024-03-25 06:30:00+00:00,2024-10-14 12:30:00+00:00,36.43999862670898,33.459999084472656,540,-1609.1997528076135,-0.08177825616195572,STOP_LOSS,STRONG_BUY,
ALGYO,2023-03-23 06:30:00+00:00,2023-04-25 06:30:00+00:00,13.766666412353516,13.95555591583252,1406,265.5786418914795,0.013720787431117234,SIGNAL,STRONG_BUY,adx_di
ALGYO,2024-04-05 06:30:00+00:00,2024-10-01 14:30:00+00:00,20.739999771118164,19.0,936,-1628.6397857666016,-0.08389584331342327,STOP_LOSS,STRONG_BUY,
ALKIM,2022-10-04 06:30:00+00:00,2023-01-12 09:30:00+00:00,16.959999084472656,15.449999809265137,1125,-1698.7491846084595,-0.0890329809386585,STOP_LOSS,STRONG_BUY,
ALKIM,2024-01-23 07:30:00+00:00,2024-03-05 11:30:00+00:00,18.40999984741211,20.76000022888184,1018,2392.3003883361853,0.12764803916063416,SIGNAL,STRONG_BUY,adx_di
ANSGR,2023-08-08 13:30:00+00:00,2023-08-15 13:30:00+00:00,32.84000015258789,29.81999969482422,585,-1766.700267791748,-0.09196103665443152,STOP_LOSS,STRONG_BUY,
ANSGR,2023-10-31 06:30:00+00:00,2023-11-01 09:30:00+00:00,62.70000076293945,57.0,301,-1715.7002296447754,-0.09090910197099382,STOP_LOSS,STRONG_BUY,
ANSGR,2023-12-15 08:30:00+00:00,2025-06-27 14:30:00+00:00,57.45000076293945,88.80000305175781,322,10094.700736999512,0.5456919385985806,END_TEST,STRONG_BUY,adx_di
AGHOL,2024-05-15 06:30:00+00:00,2024-08-23 09:30:00+00:00,351.75,323.5,58,-1638.5,-0.08031272210376687,STOP_LOSS,STRONG_BUY,
AGHOL,2024-08-28 06:30:00+00:00,2024-10-01 13:30:00+00:00,330.75,302.75,61,-1708.0,-0.08465608465608465,STOP_LOSS,STRONG_BUY,
ARCLK,2023-07-13 06:30:00+00:00,2023-10-31 13:30:00+00:00,148.89999389648438,136.0,133,-1715.6991882324219,-0.08663528828249974,STOP_LOSS,STRONG_BUY,
ASELS,2025-04-10 06:30:00+00:00,2025-06-27 14:30:00+00:00,122.9000015258789,145.5,158,3570.799758911133,0.18388932622887103,END_TEST,STRONG_BUY,macd
BIMAS,2022-11-01 06:30:00+00:00,2022-11-17 06:30:00+00:00,138.0,126.0,146,-1752.0,-0.08695652173913043,STOP_LOSS,STRONG_BUY,
BIMAS,2025-02-06 08:30:00+00:00,2025-02-25 10:30:00+00:00,551.5,506.5,36,-1620.0,-0.0815956482320943,STOP_LOSS,STRONG_BUY,
DOHOL,2023-10-30 07:30:00+00:00,2023-11-01 12:30:00+00:00,14.460000038146973,13.210000038146973,1354,-1692.5,-0.08644536630030228,STOP_LOSS,STRONG_BUY,
DOHOL,2024-10-07 06:30:00+00:00,2024-10-14 11:30:00+00:00,13.920000076293944,12.68000030517578,1382,-1713.6796836853027,-0.0890804428392145,STOP_LOSS,STRONG_BUY,
DOAS,2025-05-02 10:30:00+00:00,2025-05-23 07:30:00+00:00,203.1999969482422,186.3000030517578,93,-1571.6994323730469,-0.08316926255067333,STOP_LOSS,STRONG_BUY,
EGEEN,2023-09-12 06:30:00+00:00,2023-09-20 13:30:00+00:00,8116.7001953125,7380.0,2,-1473.400390625,-0.09076350950327744,STOP_LOSS,STRONG_BUY,
EGEEN,2025-01-03 07:30:00+00:00,2025-01-14 12:30:00+00:00,10260.0,9430.0,1,-830.0,-0.08089668615984405,STOP_LOSS,STRONG_BUY,
EKGYO,2022-08-17 06:30:00+00:00,2023-11-23 10:30:00+00:00,3.7100000381469727,7.389999866485596,4884,17973.119161605835,0.991913690161757,SIGNAL,STRONG_BUY,"macd,adx_di"
EKGYO,2023-12-08 06:30:00+00:00,2023-12-13 13:30:00+00:00,7.75,7.090000152587891,2802,-1849.3195724487305,-0.08516127063382056,STOP_LOSS,STRONG_BUY,
ENKAI,2022-09-19 06:30:00+00:00,2022-09-23 10:30:00+00:00,19.690000534057617,18.010000228881836,1084,-1821.1203308105469,-0.0853225119151165,STOP_LOSS,STRONG_BUY,
ENKAI,2023-06-22 11:30:00+00:00,2024-03-11 13:30:00+00:00,27.459999084472656,37.68000030517578,764,7808.0809326171875,0.3721777698995648,SIGNAL,STRONG_BUY,adx_di
ENKAI,2024-05-29 06:30:00+00:00,2024-11-18 06:30:00+00:00,41.81999969482422,52.29999923706055,539,5648.719753265381,0.25059779097830476,SIGNAL,STRONG_BUY,macd
ERBOS,2022-09-02 07:30:00+00:00,2023-04-17 06:30:00+00:00,121.9000015258789,126.8000030517578,194,950.6002960205042,0.04019689470503112,SIGNAL,STRONG_BUY,macd
EREGL,2023-01-30 06:30:00+00:00,2023-02-02 12:30:00+00:00,19.76000022888184,17.920000076293945,1207,-2220.8801841735876,-0.09311741555035467,STOP_LOSS,STRONG_BUY,
FROTO,2024-03-28 07:30:00+00:00,2024-06-04 09:30:00+00:00,114.5999984741211,105.1999969482422,204,-1917.6003112792932,-0.08202444721673877,STOP_LOSS,STRONG_BUY,
FROTO,2024-06-12 06:30:00+00:00,2024-08-02 06:30:00+00:00,106.1999969482422,97.1999969482422,216,-1944.0,-0.0847457651471144,STOP_LOSS,STRONG_BUY,
GUBRF,2022-11-14 07:30:00+00:00,2022-11-17 06:30:00+00:00,166.3000030517578,157.6999969482422,136,-1169.600830078125,-0.05171380604749016,SIGNAL,STRONG_BUY,macd
GUBRF,2022-12-30 09:30:00+00:00,2023-02-02 06:30:00+00:00,266.6000061035156,223.6000061035156,84,-3612.0000000000036,-0.16129031888807976,STOP_LOSS,STRONG_BUY,
GUBRF,2024-12-27 06:30:00+00:00,2025-02-21 13:30:00+00:00,282.25,259.5,76,-1729.0,-0.08060230292294066,STOP_LOSS,STRONG_BUY,
HALKB,2023-03-21 12:30:00+00:00,2023-03-28 14:30:00+00:00,11.609999656677246,10.5600004196167,1838,-1929.8985977172852,-0.0904392134462004,STOP_LOSS,STRONG_BUY,
HALKB,2025-01-16 06:30:00+00:00,2025-06-12 08:30:00+00:00,17.459999084472656,20.81999969482422,1200,4032.000732421875,0.192439907590811,SIGNAL,STRONG_BUY,adx_di
HEKTS,2023-10-30 10:30:00+00:00,2023-11-14 06:30:00+00:00,22.979999542236328,20.739999771118164,947,-2121.2797832489014,-0.09747605812616024,STOP_LOSS,STRONG_BUY,
HEKTS,2024-01-18 11:30:00+00:00,2024-04-01 06:30:00+00:00,17.3799991607666,15.760000228881836,1227,-1987.7386894226074,-0.0932105299257857,STOP_LOSS,STRONG_BUY,
HEKTS,2025-06-02 06:30:00+00:00,2025-06-27 14:30:00+00:00,3.059999942779541,3.049999952316284,6844,-68.43993473052979,-0.003267970800735825,END_TEST,STRONG_BUY,adx_di
INDES,2024-10-07 06:30:00+00:00,2024-11-05 06:30:00+00:00,6.5,5.949999809265137,3220,-1771.0006141662598,-0.08461541395920974,STOP_LOSS,STRONG_BUY,
INDES,2025-05-06 06:30:00+00:00,2025-06-02 06:30:00+00:00,7.050000190734863,6.409999847412109,2918,-1867.521001815796,-0.09078018808621378,STOP_LOSS,STRONG_BUY,
IPEKE,2022-11-21 07:30:00+00:00,2023-02-02 12:30:00+00:00,32.13999938964844,29.07999992370605,628,-1921.67966461182,-0.09520844816593073,STOP_LOSS,STRONG_BUY,
IPEKE,2024-09-02 11:30:00+00:00,2024-09-09 06:30:00+00:00,46.58000183105469,42.380001068115234,425,-1785.0003242492676,-0.09016746667749873,STOP_LOSS,STRONG_BUY,
IPEKE,2024-11-18 11:30:00+00:00,2025-03-17 06:30:00+00:00,38.7400016784668,59.400001525878906,502,10371.319923400879,0.5332988888045336,SIGNAL,STRONG_BUY,macd
IPEKE,2025-05-22 08:30:00+00:00,2025-05-28 06:30:00+00:00,63.79999923706055,58.650001525878906,337,-1735.549228668213,-0.08072096822518576,STOP_LOSS,STRONG_BUY,
ISCTR,2023-10-11 06:30:00+00:00,2023-10-13 09:30:00+00:00,10.400103569030762,9.560094833374023,2037,-1711.0977945327759,-0.08076926639058682,STOP_LOSS,STRONG_BUY,
ISCTR,2023-11-06 06:30:00+00:00,2023-11-14 06:30:00+00:00,8.61608600616455,7.896078586578369,2419,-1741.6979479789734,-0.08356548658764988,STOP_LOSS,STRONG_BUY,
ISCTR,2024-11-21 10:30:00+00:00,2024-12-10 10:30:00+00:00,13.170000076293944,14.029999732971191,1556,1338.1594657897986,0.06529989762302671,SIGNAL,STRONG_BUY,"macd,adx_di"
ISCTR,2025-02-13 06:30:00+00:00,2025-03-19 06:30:00+00:00,14.06999969482422,15.0600004196167,1475,1460.251069068905,0.07036252638702323,SIGNAL,STRONG_BUY,macd
ISDMR,2022-11-04 06:30:00+00:00,2023-03-27 14:30:00+00:00,26.559999465942383,37.0,792,8268.480422973633,0.39307231716795493,SIGNAL,STRONG_BUY,macd
ISDMR,2025-04-24 06:30:00+00:00,2025-06-13 06:30:00+00:00,34.619998931884766,34.08000183105469,656,-354.23809814453125,-0.015597837015897327,SIGNAL,STRONG_BUY,macd
ISDMR,2025-06-20 09:30:00+00:00,2025-06-27 14:30:00+00:00,35.41999816894531,34.79999923706055,639,-396.17931747436523,-0.017504205644718336,END_TEST,STRONG_BUY,macd
ISFIN,2024-03-21 06:30:00+00:00,2025-04-15 08:30:00+00:00,11.039999961853027,13.539999961853027,2043,5107.5,0.22644927614477847,SIGNAL,STRONG_BUY,"macd,adx_di"
ISGYO,2023-01-30 07:30:00+00:00,2023-02-01 06:30:00+00:00,12.34000015258789,11.100000381469728,1911,-2369.639562606808,-0.10048620387238122,STOP_LOSS,STRONG_BUY,
ISGYO,2023-07-12 13:30:00+00:00,2023-09-29 14:30:00+00:00,12.1899995803833,23.65999984741211,1895,21735.650506019592,0.9409352470763701,SIGNAL,STRONG_BUY,"macd,adx_di"
ISGYO,2024-10-24 06:30:00+00:00,2025-04-28 06:30:00+00:00,16.43000030517578,15.039999961853027,1671,-2322.690573692322,-0.08460135833867731,STOP_LOSS,STRONG_BUY,
IZMDC,2022-09-05 08:30:00+00:00,2022-12-23 06:30:00+00:00,2.7699999809265137,5.860000133514404,9744,30108.961486816406,1.1155235284710519,SIGNAL,STRONG_BUY,macd
KARSN,2023-10-30 07:30:00+00:00,2023-11-14 10:30:00+00:00,10.079999923706056,9.210000038146973,3275,-2849.249625206001,-0.08630951310952156,STOP_LOSS,STRONG_BUY,
KARSN,2024-08-08 07:30:00+00:00,2024-11-12 12:30:00+00:00,14.770000457763672,13.550000190734863,2196,-2679.1205863952637,-0.08259988010951823,STOP_LOSS,STRONG_BUY,
KARTN,2024-02-19 07:30:00+00:00,2024-08-05 06:30:00+00:00,99.0,90.5,322,-2737.0,-0.08585858585858586,STOP_LOSS,STRONG_BUY,
KARTN,2024-10-07 06:30:00+00:00,2025-06-27 14:30:00+00:00,81.19999694824219,77.69999694824219,386,-1351.0,-0.04310344989582869,END_TEST,STRONG_BUY,adx_di
KCHOL,2022-12-28 09:30:00+00:00,2023-01-10 13:30:00+00:00,80.80000305175781,73.6500015258789,384,-2745.6005859375,-0.08849011455233302,STOP_LOSS,STRONG_BUY,
KCHOL,2023-03-23 06:30:00+00:00,2023-05-03 06:30:00+00:00,79.5999984741211,73.0999984741211,383,-2489.5,-0.08165829302262144,STOP_LOSS,STRONG_BUY,
KLRHO,2022-10-17 08:30:00+00:00,2022-11-08 06:30:00+00:00,13.983999252319336,12.37600040435791,2148,-3453.9815254211426,-0.11498848211785544,STOP_LOSS,STRONG_BUY,
KLRHO,2023-07-31 08:30:00+00:00,2023-10-26 06:30:00+00:00,15.460000038146973,42.060001373291016,1898,50486.80253410339,1.7205692929825054,SIGNAL,STRONG_BUY,adx_di
KLRHO,2025-02-26 08:30:00+00:00,2025-03-19 06:30:00+00:00,27.959999084472656,25.5,1410,-3468.5987091064453,-0.08798280275476816,STOP_LOSS,STRONG_BUY,
THYAO,2023-06-02 06:30:00+00:00,2025-01-08 06:30:00+00:00,150.0,291.25,258,36442.5,0.9416666666666667,SIGNAL,STRONG_BUY,macd
